,title,price,link
10,ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,"₹95,990",/asus-rog-strix-g15-ryzen-7-octa-core-4800h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-144-hz-g513ie-hn040ws-gaming-laptop/p/itm13c7975bead0a?pid=COMGE73KYN76YZC7&lid=LSTCOMGE73KYN76YZC71JHKIS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGE73KYN76YZC7.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
11,MSI Bravo 15 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 55...,"₹49,990",/msi-bravo-15-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-amd-radeon-rx-5500m-144-hz-b5dd-410in-gaming-laptop/p/itm12cedc4da03bc?pid=COMGGHMQVWN6JJGC&lid=LSTCOMGGHMQVWN6JJGCTAUNJV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_Fkq3TpdK7UkIMImdTZPBw20h4LTXMuNe%2BPq8Jdhfg2lWjDxW%2BcHC3wHM8lVF%2FNN2eEizpjmTTRqy%2BFMA7M8ucg%3D%3D&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
12,acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54/ EX 215-54-356V Thin and L...,"₹33,319",/acer-extensa-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-ex-215-54-215-54-356v-thin-light-laptop/p/itm04c565616da14?pid=COMGGYEBDUJ4PYS9&lid=LSTCOMGGYEBDUJ4PYS9H9GDDB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGGYEBDUJ4PYS9.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
13,RedmiBook 15 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop,"₹29,990",/redmibook-15-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-thin-light-laptop/p/itm302328cdf5e24?pid=COMG4Z35GKZTRDSF&lid=LSTCOMG4Z35GKZTRDSFFNBHAW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMG4Z35GKZTRDSF.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
14,DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,"₹31,990",/dell-inspiron-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-3525-notebook/p/itm96a6101fa53ff?pid=COMGCYF9EZKKPEWD&lid=LSTCOMGCYF9EZKKPEWDXSSFWJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGCYF9EZKKPEWD.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
15,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) KM5...,"₹63,990",/asus-vivobook-k15-oled-2022-ryzen-5-hexa-core-5500u-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-km513ua-l502ws-thin-light-laptop/p/itmbe79f1096e453?pid=COMG87FFPDWUZAKE&lid=LSTCOMG87FFPDWUZAKEIKWIHF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=en_Fkq3TpdK7UkIMImdTZPBw20h4LTXMuNe%2BPq8Jdhfg2luRAr%2FPK6SWdyMFVINCZln2dljr75pticgql6YRwIdRA%3D%3D&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
16,Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,"₹18,990",/infinix-inbook-x1-neo-series-celeron-quad-core-4-gb-128-gb-ssd-windows-11-home-xl22-thin-light-laptop/p/itmae138fef398f7?pid=COMGG3S9GZK2H5CM&lid=LSTCOMGG3S9GZK2H5CMPQJGRL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGG3S9GZK2H5CM.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
17,ASUS Vivobook 15 Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M515DA-BQ722WS La...,"₹46,990",/asus-vivobook-15-ryzen-7-quad-core-amd-r7-3700u-16-gb-512-gb-ssd-windows-11-home-m515da-bq722ws-laptop/p/itm5c77300ec1eb8?pid=COMGCRFYZF5TK7ZU&lid=LSTCOMGCRFYZF5TK7ZUSWT9I4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGCRFYZF5TK7ZU.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
18,ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,"₹25,990",/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGBH774UHWUFQF.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
19,MSI Prestige 14 Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) Prestige 14Evo A11M-62...,"₹74,990",/msi-prestige-14-intel-evo-core-i5-11th-gen-16-gb-512-gb-ssd-windows-10-home-14evo-a11m-624in-thin-light-laptop/p/itmb81d123f71326?pid=COMG5AYMDY4WBVWP&lid=LSTCOMG5AYMDY4WBVWP178BXZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=en_Fkq3TpdK7UkIMImdTZPBw20h4LTXMuNe%2BPq8Jdhfg2lr3wlHZbh%2BOAe%2Fqx8iXIljKV66DM8iQth0h2Df9nBg4A%3D%3D&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
20,ASUS VivoBook K15 OLED Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L712WS Thi...,"₹69,990",/asus-vivobook-k15-oled-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l712ws-thin-light-laptop/p/itmd737de314823c?pid=COMGB6DZQJHHSESY&lid=LSTCOMGB6DZQJHHSESYC1WZQS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGB6DZQJHHSESY.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
21,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop,"₹40,990",/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-14s-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
22,ASUS Vivobook 14 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X415JA-BV302WS Laptop,"₹29,990",/asus-vivobook-14-core-i3-10th-gen-8-gb-1-tb-hdd-windows-11-home-x415ja-bv302ws-laptop/p/itm96433aca49a4c?pid=COMGHQSCQYVHAHVV&lid=LSTCOMGHQSCQYVHAHVVAMWEEO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=5690eaa4-ced8-464a-aa64-dfe1e2db0141.COMGHQSCQYVHAHVV.SEARCH&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
23,Lenovo Thinkpad Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/DOS) E14 AMD Gen3 Thin and Light Laptop,"₹56,990",/lenovo-thinkpad-ryzen-5-hexa-core-5600u-8-gb-512-gb-ssd-dos-e14-amd-gen3-thin-light-laptop/p/itm9d1a5b7f5c9ca?pid=COMG6YZZPHDH3VQ6&lid=LSTCOMG6YZZPHDH3VQ6KJDPZP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=en_Fkq3TpdK7UkIMImdTZPBw20h4LTXMuNe%2BPq8Jdhfg2m0Uyd2vj009cimZ2KLPRWJsVXz3jYRLPwH3J0ZS4qYLg%3D%3D&ppt=None&ppn=None&ssid=qcj4i5op1c0000001663399552957&qH=c06ea84a1e3dc3c6
24,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0012AU Laptop,"₹38,999",/hp-15s-ryzen-3-dual-core-3250u-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-15s-gr0012au-laptop/p/itm9e1f8deeed35f?pid=COMFZHFWBE7APPH2&lid=LSTCOMFZHFWBE7APPH2PLTTEQ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMFZHFWBE7APPH2.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
25,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511,Inspiron 300...","₹43,990",/dell-inspiron-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3511-inspiron-3000-thin-light-laptop/p/itmb93d2a1e224d0?pid=COMGAD2B4QMZTWKB&lid=LSTCOMGAD2B4QMZTWKBLSB4SW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMGAD2B4QMZTWKB.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
26,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light Laptop,"₹38,990",/hp-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14s-dy2506tu-thin-light-laptop/p/itm6e9f19b41d9c9?pid=COMG92FXHPYEN44H&lid=LSTCOMG92FXHPYEN44HKXQR8G&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_27&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMG92FXHPYEN44H.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
27,MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-639IN Notebook,"₹41,990",/msi-modern-14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-b10mw-639in-notebook/p/itm9771296f748c4?pid=COMG483F5X8GDQSP&lid=LSTCOMG483F5X8GDQSPM5QHSD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_28&otracker=search&fm=organic&iid=en_Ds5PTPKtdqLMCb6OHg7Qvo%2BQVTMC5nlvbZApaswUbkwGgN%2FSeqTdOt%2BJ5gpBEDMrzksPsYlVK5VaFZJCORrygg%3D%3D&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
28,acer Aspire 3 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop,"₹37,990",/acer-aspire-3-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-11-home-a315-23-laptop/p/itm3ea59049bce25?pid=COMG8ZYESERNZFZC&lid=LSTCOMG8ZYESERNZFZCQGEEKL&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_29&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMG8ZYESERNZFZC.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
29,acer Predator Helios 300 Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹1,39,990",/acer-predator-helios-300-core-i9-12th-gen-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-ph315-55-ph315-55-99z6-gaming-laptop/p/itm85043c4f71d4a?pid=COMGHY4DQWWBKZUK&lid=LSTCOMGHY4DQWWBKZUKT8DSUT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_30&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMGHY4DQWWBKZUK.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
30,ASUS Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS Laptop,"₹32,790",/asus-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej382ws-laptop/p/itma0bbda903c72b?pid=COMGHHWNHHPAGR9U&lid=LSTCOMGHHWNHHPAGR9UFHHAEN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_31&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMGHHWNHHPAGR9U.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
31,MSI Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-659IN Thin and Light Laptop,"₹57,990",/msi-core-i7-10th-gen-8-gb-512-gb-ssd-windows-10-home-modern-14-b10mw-659in-thin-light-laptop/p/itmbcbb85feb146e?pid=COMG7GXGMF5QGXGU&lid=LSTCOMG7GXGMF5QGXGUJ3M2IR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_32&otracker=search&fm=organic&iid=en_Ds5PTPKtdqLMCb6OHg7Qvo%2BQVTMC5nlvbZApaswUbkwh8W%2BfCGtlJUfjmG93BsKSWa6i0ZEHS4ASNGQWH0MyaQ%3D%3D&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
32,acer Extensa Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) EX 215-54 Thin and Light Laptop,"₹31,990",/acer-extensa-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-ex-215-54-thin-light-laptop/p/itm250fbb84e17e7?pid=COMGGYEBHVBR8EVN&lid=LSTCOMGGYEBHVBR8EVNRJAVBG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_33&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMGGYEBHVBR8EVN.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
33,ASUS Vivobook 14 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) X415JA-BV302WS Laptop,"₹29,990",/asus-vivobook-14-core-i3-10th-gen-8-gb-1-tb-hdd-windows-11-home-x415ja-bv302ws-laptop/p/itm96433aca49a4c?pid=COMGHQSCQYVHAHVV&lid=LSTCOMGHQSCQYVHAHVVAMWEEO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_34&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMGHQSCQYVHAHVV.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
34,ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-...,"₹94,990",/asus-vivobook-s14-oled-2022-intel-evo-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-s3402za-km702ws-thin-light-laptop/p/itmd1086591ca87c?pid=COMGCG2GCTYUYF4N&lid=LSTCOMGCG2GCTYUYF4NFRNNAW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_35&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMGCG2GCTYUYF4N.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
35,ASUS VivoBook 14 (2021) Ryzen 7 Quad Core 3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB512WS Th...,"₹46,990",/asus-vivobook-14-2021-ryzen-7-quad-core-3700u-16-gb-512-gb-ssd-windows-11-home-m415da-eb512ws-thin-light-laptop/p/itm111b016e68725?pid=COMGCG2GDC5RZZNX&lid=LSTCOMGCG2GDC5RZZNXYTRZ0J&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_36&otracker=search&fm=organic&iid=en_Ds5PTPKtdqLMCb6OHg7Qvo%2BQVTMC5nlvbZApaswUbkxK4uvZa3dQ3XPVkYLPCVzoNQT60X8jnqXBk3itu2XbaQ%3D%3D&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
36,HP Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1559AU Thin and Light Laptop,"₹34,999",/hp-athlon-dual-core-3050u-8-gb-512-gb-ssd-windows-11-home-15s-eq1559au-thin-light-laptop/p/itm805c7d908648d?pid=COMGG63HRV3GFN4G&lid=LSTCOMGG63HRV3GFN4GQCQPAT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_2_37&otracker=search&fm=organic&iid=e214f4fb-077d-48ba-ae77-4be2735bc125.COMGG63HRV3GFN4G.SEARCH&ppt=None&ppn=None&ssid=nl0c85878w0000001663399554583&qH=c06ea84a1e3dc3c6
