id,EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
246,15,yes,male,4,not_member,3.75,25,White,Sales,Other,Unmarried
247,12,no,male,34,not_member,3.5,52,White,Sales,Other,Married
248,13,no,male,5,not_member,5.8,24,White,Sales,Other,Unmarried
249,17,no,male,13,not_member,12,36,White,Sales,Manufacturing,Married
250,14,no,female,17,not_member,5,37,Hispanic,Clerical,Other,Married
251,13,yes,female,10,not_member,8.75,29,White,Clerical,Other,Married
252,16,no,female,7,not_member,10,29,White,Clerical,Other,Married
253,12,no,female,25,not_member,8.5,43,White,Clerical,Other,Unmarried
254,12,no,female,18,not_member,8.63,36,Other,Clerical,Other,Married
255,16,no,female,27,not_member,9,49,White,Clerical,Manufacturing,Married
256,16,no,female,2,not_member,5.5,24,White,Clerical,Other,Unmarried
257,13,no,male,13,not_member,11.11,32,White,Clerical,Other,Married
258,14,no,female,24,not_member,10,44,White,Clerical,Other,Unmarried
259,18,yes,female,13,not_member,5.2,37,Hispanic,Clerical,Other,Married
260,14,no,female,15,member,8,35,White,Clerical,Other,Unmarried
261,12,yes,female,12,not_member,3.56,30,Hispanic,Clerical,Other,Unmarried
262,12,no,female,24,not_member,5.2,42,White,Clerical,Other,Married
263,12,no,female,43,not_member,11.67,61,White,Clerical,Construction,Married
264,12,no,female,13,not_member,11.32,31,White,Clerical,Manufacturing,Married
265,12,yes,female,16,not_member,7.5,34,White,Clerical,Other,Married
266,11,no,female,24,not_member,5.5,41,White,Clerical,Other,Married
267,16,yes,female,4,not_member,5,26,White,Clerical,Other,Married
268,12,no,female,24,not_member,7.75,42,White,Clerical,Other,Married
269,12,no,female,45,not_member,5.25,63,White,Clerical,Other,Married
270,12,no,male,20,member,9,38,White,Clerical,Other,Married
271,12,no,female,38,not_member,9.65,56,White,Clerical,Other,Married
272,18,yes,male,10,not_member,5.21,34,White,Clerical,Other,Married
273,11,no,female,16,not_member,7,33,Other,Clerical,Other,Married
274,12,yes,female,32,not_member,12.16,50,Other,Clerical,Other,Married
275,16,yes,female,2,not_member,5.25,24,White,Clerical,Other,Unmarried
276,13,yes,female,28,not_member,10.32,47,White,Clerical,Other,Unmarried
277,16,no,male,3,not_member,3.35,25,Other,Clerical,Other,Unmarried
278,13,no,female,8,member,7.7,27,White,Clerical,Other,Unmarried
279,12,no,female,44,not_member,9.17,62,White,Clerical,Manufacturing,Married
280,12,yes,male,12,not_member,8.43,30,White,Clerical,Other,Married
281,12,yes,male,8,not_member,4,26,Other,Clerical,Other,Married
282,12,no,female,4,not_member,4.13,22,White,Clerical,Other,Married
283,12,yes,female,28,not_member,3,46,White,Clerical,Other,Married
284,13,yes,female,0,not_member,4.25,19,White,Clerical,Other,Unmarried
285,14,yes,male,1,not_member,7.53,21,White,Clerical,Other,Unmarried
286,14,no,female,12,not_member,10.53,32,White,Clerical,Manufacturing,Married
287,12,no,female,39,not_member,5,57,White,Clerical,Other,Married
288,12,no,female,24,not_member,15.03,42,White,Clerical,Other,Married
289,17,no,female,32,not_member,11.25,55,Other,Clerical,Other,Married
290,16,no,male,4,not_member,6.25,26,Other,Clerical,Other,Unmarried
291,12,no,female,25,not_member,3.5,43,Other,Clerical,Other,Unmarried
292,12,no,male,8,not_member,6.85,26,Other,Clerical,Other,Unmarried
293,13,no,female,16,not_member,12.5,35,White,Clerical,Other,Married
294,12,yes,male,5,not_member,12,23,White,Clerical,Other,Unmarried
295,13,no,male,31,not_member,6,50,White,Clerical,Other,Unmarried
296,12,no,female,25,not_member,9.5,43,White,Clerical,Other,Unmarried
297,12,no,female,15,not_member,4.1,33,White,Clerical,Other,Married
298,14,yes,female,15,not_member,10.43,35,White,Clerical,Other,Married
299,12,no,female,0,not_member,5,18,White,Clerical,Other,Unmarried
300,12,no,male,19,not_member,7.69,37,White,Clerical,Other,Married
301,12,no,female,21,not_member,5.5,39,Other,Clerical,Other,Unmarried
302,12,no,female,6,not_member,6.4,24,White,Clerical,Other,Unmarried
303,12,no,female,14,member,12.5,32,White,Clerical,Other,Married
304,13,no,female,30,not_member,6.25,49,White,Clerical,Other,Married
305,12,no,female,8,not_member,8,26,White,Clerical,Other,Unmarried
306,9,no,male,33,member,9.6,48,White,Clerical,Other,Unmarried
307,13,no,male,16,not_member,9.1,35,Hispanic,Clerical,Other,Unmarried
308,12,yes,female,20,not_member,7.5,38,White,Clerical,Other,Unmarried
309,13,yes,female,6,not_member,5,25,White,Clerical,Other,Married
310,12,no,female,10,member,7,28,White,Clerical,Other,Married
311,13,yes,female,1,not_member,3.55,20,White,Clerical,Other,Unmarried
312,12,yes,male,2,not_member,8.5,20,Other,Clerical,Other,Unmarried
313,13,yes,female,0,not_member,4.5,19,White,Clerical,Other,Unmarried
314,16,no,male,17,not_member,7.88,39,Other,Clerical,Other,Married
315,12,no,female,8,not_member,5.25,26,White,Clerical,Other,Unmarried
316,12,yes,male,4,not_member,5,22,White,Clerical,Other,Unmarried
317,12,no,female,15,not_member,9.33,33,White,Clerical,Other,Unmarried
318,12,no,female,29,not_member,10.5,47,White,Clerical,Other,Married
319,12,yes,female,23,not_member,7.5,41,Other,Clerical,Other,Married
320,12,yes,female,39,not_member,9.5,57,White,Clerical,Other,Married
321,12,yes,female,14,not_member,9.6,32,White,Clerical,Other,Married
322,17,yes,female,6,not_member,5.87,29,Other,Clerical,Other,Unmarried
323,14,yes,male,12,member,11.02,32,White,Clerical,Other,Married
324,12,yes,female,26,not_member,5,44,White,Clerical,Other,Unmarried
325,14,no,female,32,not_member,5.62,52,White,Clerical,Other,Married
326,15,no,female,6,not_member,12.5,27,White,Clerical,Other,Married
327,12,no,female,40,not_member,10.81,58,White,Clerical,Other,Married
328,12,no,female,18,not_member,5.4,36,White,Clerical,Manufacturing,Married
329,11,no,female,12,not_member,7,29,White,Clerical,Other,Unmarried
330,12,yes,female,36,not_member,4.59,54,White,Clerical,Construction,Married
331,12,no,female,19,not_member,6,37,White,Clerical,Other,Married
332,16,no,female,42,not_member,11.71,64,White,Clerical,Manufacturing,Unmarried
333,13,no,female,2,not_member,5.62,21,Hispanic,Clerical,Other,Married
334,12,no,female,33,not_member,5.5,51,White,Clerical,Other,Married
335,12,yes,female,14,not_member,4.85,32,White,Clerical,Other,Married
336,12,no,male,22,not_member,6.75,40,White,Clerical,Other,Unmarried
337,12,no,female,20,not_member,4.25,38,White,Clerical,Other,Married
338,12,no,female,15,not_member,5.75,33,White,Clerical,Other,Married
339,12,no,male,35,not_member,3.5,53,White,Clerical,Other,Married
340,12,no,female,7,not_member,3.35,25,White,Clerical,Other,Married
341,12,no,female,45,not_member,10.62,63,White,Clerical,Manufacturing,Unmarried
342,12,no,female,9,not_member,8,27,White,Clerical,Other,Unmarried
343,12,yes,female,2,not_member,4.75,20,White,Clerical,Other,Married
344,17,yes,male,3,not_member,8.5,26,White,Clerical,Other,Unmarried
345,14,no,female,19,member,8.85,39,Other,Clerical,Other,Married
346,12,yes,female,14,not_member,8,32,White,Clerical,Other,Married
347,4,no,male,54,not_member,6,64,White,Service,Other,Married
348,14,no,male,17,not_member,7.14,37,White,Service,Other,Married
349,8,no,female,29,not_member,3.4,43,Other,Service,Other,Married
350,15,yes,female,26,not_member,6,47,White,Service,Other,Unmarried
351,2,no,male,16,not_member,3.75,24,Hispanic,Service,Other,Unmarried
352,8,no,female,29,not_member,8.89,43,Other,Service,Other,Unmarried
353,11,no,female,20,not_member,4.35,37,White,Service,Other,Married
354,10,yes,female,38,not_member,13.1,54,Other,Service,Other,Married
355,8,yes,female,37,not_member,4.35,51,Other,Service,Other,Married
356,9,no,male,48,not_member,3.5,63,White,Service,Other,Unmarried
357,12,no,female,16,not_member,3.8,34,White,Service,Other,Unmarried
358,8,no,female,38,not_member,5.26,52,White,Service,Other,Married
359,14,no,male,0,not_member,3.35,20,Other,Service,Other,Unmarried
360,12,no,male,14,member,16.26,32,Other,Service,Other,Unmarried
361,12,no,female,2,not_member,4.25,20,White,Service,Other,Married
362,16,no,male,21,not_member,4.5,43,White,Service,Other,Married
363,13,no,female,15,not_member,8,34,White,Service,Other,Married
364,16,no,female,20,not_member,4,42,White,Service,Other,Unmarried
365,14,no,female,12,not_member,7.96,32,White,Service,Other,Married
366,12,yes,male,7,not_member,4,25,Hispanic,Service,Other,Unmarried
367,11,no,male,4,not_member,4.15,21,White,Service,Other,Married
368,13,yes,male,9,not_member,5.95,28,White,Service,Other,Married
369,12,yes,female,43,not_member,3.6,61,Hispanic,Service,Other,Married
370,10,yes,male,19,not_member,8.75,35,White,Service,Other,Unmarried
371,8,no,female,49,not_member,3.4,63,White,Service,Other,Unmarried
372,12,no,female,38,not_member,4.28,56,White,Service,Other,Married
373,12,no,female,13,not_member,5.35,31,White,Service,Other,Married
374,12,no,female,14,not_member,5,32,White,Service,Other,Married
375,12,no,male,20,not_member,7.65,38,White,Service,Other,Unmarried
376,12,no,female,7,not_member,6.94,25,White,Service,Other,Unmarried
377,12,no,female,9,member,7.5,27,White,Service,Manufacturing,Married
378,12,no,female,6,not_member,3.6,24,White,Service,Other,Unmarried
379,12,yes,female,5,not_member,1.75,23,White,Service,Other,Married
380,13,yes,female,1,not_member,3.45,20,Other,Service,Other,Unmarried
381,14,no,male,22,member,9.63,42,White,Service,Other,Married
382,12,no,female,24,not_member,8.49,42,White,Service,Other,Married
383,12,no,female,15,member,8.99,33,White,Service,Other,Unmarried
384,11,yes,female,8,not_member,3.65,25,White,Service,Other,Married
385,11,yes,female,17,not_member,3.5,34,White,Service,Other,Married
386,12,yes,male,2,not_member,3.43,20,Other,Service,Other,Unmarried
387,12,yes,male,20,not_member,5.5,38,White,Service,Other,Married
388,12,no,male,26,member,6.93,44,White,Service,Other,Married
389,10,yes,female,37,not_member,3.51,53,Other,Service,Other,Married
390,12,no,female,41,not_member,3.75,59,White,Service,Other,Unmarried
391,12,no,female,27,not_member,4.17,45,White,Service,Other,Married
392,12,no,female,5,member,9.57,23,White,Service,Other,Married
393,14,no,male,16,not_member,14.67,36,Other,Service,Other,Married
394,14,no,female,19,not_member,12.5,39,White,Service,Other,Married
395,12,no,male,10,not_member,5.5,28,White,Service,Other,Married
396,13,yes,male,1,member,5.15,20,White,Service,Other,Unmarried
397,12,no,female,43,member,8,61,Other,Service,Other,Married
398,13,no,male,3,not_member,5.83,22,Other,Service,Other,Unmarried
399,12,no,female,0,not_member,3.35,18,White,Service,Other,Unmarried
400,12,yes,female,26,not_member,7,44,White,Service,Other,Married
401,10,no,female,25,member,10,41,White,Service,Other,Married
402,12,no,female,15,not_member,8,33,White,Service,Other,Married
403,14,yes,female,10,not_member,6.88,30,White,Service,Other,Unmarried
404,11,no,female,45,member,5.55,62,White,Service,Other,Unmarried
405,11,no,male,3,not_member,7.5,20,Other,Service,Other,Unmarried
406,8,no,male,47,member,8.93,61,Hispanic,Service,Other,Married
407,16,no,female,6,not_member,9,28,Other,Service,Other,Married
408,10,yes,female,33,not_member,3.5,49,White,Service,Other,Unmarried
409,16,no,male,3,not_member,5.77,25,White,Service,Manufacturing,Unmarried
410,14,no,male,4,member,25,24,Hispanic,Service,Other,Unmarried
411,14,no,male,34,member,6.85,54,Other,Service,Other,Married
412,11,yes,male,39,not_member,6.5,56,White,Service,Other,Married
413,12,yes,female,17,not_member,3.75,35,White,Service,Other,Married
414,9,no,male,47,member,3.5,62,White,Service,Other,Married
415,11,no,male,2,not_member,4.5,19,White,Service,Other,Unmarried
416,13,yes,male,0,not_member,2.01,19,White,Service,Other,Unmarried
